unique_tree_id,id_parcela,monitoreo,monitoreo_label,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,crecimiento_altura,crecimiento_copa,altura_actual,copa_actual
Guayabal_P3_I19.0,3,2,M2,Fabaceae,Senna viarum,Alcaparro,6,2814,4736165.576383,2199821.891662,0.2,0.12,1,0,0,0,0,1,1,0,0,0.03,0.04000000000000001,0.23,0.16
Guayabal_P3_I19.0,3,3,M3,Fabaceae,Senna viarum,Alcaparro,12,2814,4736165.576383,2199821.891662,0.23,0.16,1,0,0,0,0,1,1,0,0,0.1,0.04000000000000001,0.33,0.2
Guayabal_P3_I19.0,3,4,M4,Fabaceae,Senna viarum,Alcaparro,18,2814,4736165.576383,2199821.891662,0.33,0.2,1,0,0,0,0,1,1,0,0,0.07,0.08000000000000002,0.4,0.28
Guayabal_P3_I2.0,3,2,M2,Clusiaceae,Clusia cuneifolia,Chagualo,6,2814,4736212.216614,2199825.558771,0.24,0.12,1,0,0,0,0,1,1,0,0,0.0,0.02000000000000002,0.24,0.14
Guayabal_P3_I2.0,3,3,M3,Clusiaceae,Clusia cuneifolia,Chagualo,12,2814,4736212.216614,2199825.558771,0.24,0.14,1,0,0,0,0,1,1,0,0,0.0,0.009999999999999981,0.24,0.15
Guayabal_P3_I2.0,3,4,M4,Clusiaceae,Clusia cuneifolia,Chagualo,18,2814,4736212.216614,2199825.558771,0.24,0.15,1,0,0,0,0,1,1,0,0,0.0,0.04000000000000001,0.24,0.19
Guayabal_P3_I20.0,3,2,M2,Asteraceae,Montanoa quadrangularis,Arboloco,6,2814,4736163.128984,2199822.023894,0.2,0.15,1,0,0,1,0,0,1,0,0,0.33,0.52,0.53,0.67
Guayabal_P3_I20.0,3,3,M3,Asteraceae,Montanoa quadrangularis,Arboloco,12,2814,4736163.128984,2199822.023894,0.53,0.67,1,0,0,1,0,0,1,0,0,0.1699999999999999,-0.15,0.7,0.52
Guayabal_P3_I20.0,3,4,M4,Asteraceae,Montanoa quadrangularis,Arboloco,18,2814,4736163.128984,2199822.023894,0.7,0.52,1,0,0,1,0,0,1,0,0,0.17,0.3099999999999999,0.87,0.8299999999999998
Guayabal_P3_I21.0,3,2,M2,Podocarpaceae,Retrophyllum rospigliosii,Pino romerón,6,2814,4736160.086304,2199821.69318,0.21,0.15,1,0,0,0,0,1,1,0,0,0.06000000000000003,0.0,0.27,0.15
Guayabal_P3_I21.0,3,3,M3,Podocarpaceae,Retrophyllum rospigliosii,Pino romerón,12,2814,4736160.086304,2199821.69318,0.27,0.15,1,0,0,0,0,1,1,0,0,0.01999999999999996,0.07,0.29,0.22
Guayabal_P3_I21.0,3,4,M4,Podocarpaceae,Retrophyllum rospigliosii,Pino romerón,18,2814,4736160.086304,2199821.69318,0.29,0.22,1,0,0,0,0,1,1,0,0,0.03000000000000003,0.03,0.32,0.25
Guayabal_P3_I22.0,3,2,M2,Bignoniaceae,Delostoma roseum,Chicalá azul,6,2814,4736162.004545,2199824.074516,0.26,0.1,1,0,0,1,0,0,1,0,0,0.09999999999999998,0.0,0.36,0.1
Guayabal_P3_I22.0,3,3,M3,Bignoniaceae,Delostoma roseum,Chicalá azul,12,2814,4736162.004545,2199824.074516,0.36,0.1,1,0,0,1,0,0,1,0,0,0.0,0.14,0.36,0.24000000000000002
Guayabal_P3_I22.0,3,4,M4,Bignoniaceae,Delostoma roseum,Chicalá azul,18,2814,4736162.004545,2199824.074516,0.36,0.24,1,0,0,1,0,0,1,0,0,0.06,0.06,0.42,0.3
Guayabal_P3_I23.0,3,2,M2,Solanaceae,Solanum sycophanta,Tachuelo,6,2814,4736164.280005,2199823.730504,0.24,0.09,1,0,0,0,1,0,1,0,0,-0.06999999999999998,0.01000000000000001,0.17,0.1
Guayabal_P3_I23.0,3,3,M3,Solanaceae,Solanum sycophanta,Tachuelo,12,2814,4736164.280005,2199823.730504,0.17,0.1,1,0,0,0,1,0,1,0,0,0.06,0.06,0.23,0.16
Guayabal_P3_I23.0,3,4,M4,Solanaceae,Solanum sycophanta,Tachuelo,18,2814,4736164.280005,2199823.730504,0.23,0.16,1,0,0,0,1,0,1,0,0,0.0,0.0,0.23,0.16
Guayabal_P3_I24.0,3,2,M2,Fabaceae,Inga punctata,Guamo,6,2814,4736167.0052,2199823.598227,0.25,0.13,1,0,0,0,1,0,1,0,0,0.22,0.01000000000000001,0.47,0.14
Guayabal_P3_I24.0,3,3,M3,Fabaceae,Inga punctata,Guamo,12,2814,4736167.0052,2199823.598227,0.47,0.14,1,0,0,0,1,0,1,0,0,0.0,0.09,0.47,0.23
Guayabal_P3_I24.0,3,4,M4,Fabaceae,Inga punctata,Guamo,18,2814,4736167.0052,2199823.598227,0.47,0.23,1,0,0,0,1,0,1,0,0,0.05000000000000004,0.0,0.52,0.23
Guayabal_P3_I25.0,3,2,M2,Lauraceae,Persea caerulea,Aguacatillo,6,2814,4736169.743573,2199823.611414,0.25,0.13,1,0,0,0,1,0,1,0,0,0.12,0.0,0.37,0.13
Guayabal_P3_I25.0,3,3,M3,Lauraceae,Persea caerulea,Aguacatillo,12,2814,4736169.743573,2199823.611414,0.37,0.13,0,0,1,0,1,0,1,0,0,0.0,0.07,0.37,0.2
Guayabal_P3_I26.0,3,2,M2,Bignoniaceae,Delostoma integrifolium,Navajuelo,6,2814,4736172.191043,2199823.413048,0.37,0.12,0,0,1,1,0,0,1,0,0,0.03000000000000003,0.1,0.4,0.22
Guayabal_P3_I26.0,3,3,M3,Bignoniaceae,Delostoma integrifolium,Navajuelo,12,2814,4736172.191043,2199823.413048,0.4,0.22,1,0,0,1,0,0,1,0,0,0.03999999999999998,0.06000000000000003,0.44,0.28
Guayabal_P3_I26.0,3,4,M4,Bignoniaceae,Delostoma integrifolium,Navajuelo,18,2814,4736172.191043,2199823.413048,0.44,0.28,1,0,0,1,0,0,1,0,0,0.04999999999999999,0.07999999999999996,0.49,0.36
Guayabal_P3_I27.0,3,2,M2,Lauraceae,Persea caerulea,Aguacatillo,6,2814,4736174.903054,2199823.677554,0.25,0.12,1,0,0,0,1,0,1,0,0,0.09999999999999998,0.05000000000000002,0.35,0.17
Guayabal_P3_I27.0,3,3,M3,Lauraceae,Persea caerulea,Aguacatillo,12,2814,4736174.903054,2199823.677554,0.35,0.17,1,0,0,0,1,0,1,0,0,0.05000000000000004,0.0,0.4,0.17
Guayabal_P3_I27.0,3,4,M4,Lauraceae,Persea caerulea,Aguacatillo,18,2814,4736174.903054,2199823.677554,0.4,0.17,1,0,0,0,1,0,1,0,0,0.08999999999999997,0.1,0.49,0.27
Guayabal_P3_I28.0,3,2,M2,Solanaceae,Solanum sycophanta,Tachuelo,6,2814,4736177.151945,2199824.074382,0.21,0.08,1,0,0,0,1,0,1,0,0,0.07000000000000003,0.06000000000000001,0.28,0.14
Guayabal_P3_I28.0,3,3,M3,Solanaceae,Solanum sycophanta,Tachuelo,12,2814,4736177.151945,2199824.074382,0.28,0.14,1,0,0,0,1,0,1,0,0,0.02999999999999997,0.03,0.31,0.17
Guayabal_P3_I29.0,3,2,M2,Fabaceae,Inga punctata,Guamo,6,2814,4736179.930105,2199824.40516,0.25,0.12,0,0,1,0,1,0,1,0,0,0.25,0.06,0.5,0.18
Guayabal_P3_I29.0,3,3,M3,Fabaceae,Inga punctata,Guamo,12,2814,4736179.930105,2199824.40516,0.5,0.18,1,0,0,0,1,0,1,0,0,0.09999999999999998,0.14,0.6,0.32
Guayabal_P3_I29.0,3,4,M4,Fabaceae,Inga punctata,Guamo,18,2814,4736179.930105,2199824.40516,0.6,0.32,1,0,0,0,1,0,1,0,0,0.03000000000000003,0.24,0.63,0.56
Guayabal_P3_I3.0,3,2,M2,Aquifoliaceae,Ilex gabinetensis,Cardenillo,6,2814,4736210.453589,2199827.453114,0.21,0.15,1,0,0,0,0,1,1,0,0,0.03,0.05000000000000002,0.24,0.2
Guayabal_P3_I3.0,3,3,M3,Aquifoliaceae,Ilex gabinetensis,Cardenillo,12,2814,4736210.453589,2199827.453114,0.24,0.2,1,0,0,0,0,1,1,0,0,0.01000000000000001,0.0,0.25,0.2
Guayabal_P3_I3.0,3,4,M4,Aquifoliaceae,Ilex gabinetensis,Cardenillo,18,2814,4736210.453589,2199827.453114,0.25,0.2,1,0,0,0,0,1,1,0,0,0.0,0.0,0.25,0.2
Guayabal_P3_I30.0,3,2,M2,Bignoniaceae,Delostoma integrifolium,Navajuelo,6,2814,4736182.575972,2199824.868233,0.4,0.13,1,0,0,1,0,0,1,0,0,0.06,0.1,0.46,0.23
Guayabal_P3_I30.0,3,3,M3,Bignoniaceae,Delostoma integrifolium,Navajuelo,12,2814,4736182.575972,2199824.868233,0.46,0.23,1,0,0,1,0,0,1,0,0,0.06,0.09,0.52,0.32
Guayabal_P3_I30.0,3,4,M4,Bignoniaceae,Delostoma integrifolium,Navajuelo,18,2814,4736182.575972,2199824.868233,0.52,0.32,1,0,0,1,0,0,1,0,0,0.03000000000000003,0.12,0.55,0.44
Guayabal_P3_I31.0,3,2,M2,Solanaceae,Solanum sycophanta,Tachuelo,6,2814,4736185.35409,2199825.132728,0.2,0.13,1,0,0,0,1,0,1,0,0,0.0,0.04999999999999999,0.2,0.18
Guayabal_P3_I31.0,3,3,M3,Solanaceae,Solanum sycophanta,Tachuelo,12,2814,4736185.35409,2199825.132728,0.2,0.18,1,0,0,0,1,0,1,0,0,0.2,0.18,0.4,0.36
Guayabal_P3_I31.0,3,4,M4,Solanaceae,Solanum sycophanta,Tachuelo,18,2814,4736185.35409,2199825.132728,0.4,0.36,1,0,0,0,1,0,1,0,0,0.24,0.1900000000000001,0.64,0.55
Guayabal_P3_I32.0,3,2,M2,Fabaceae,Inga punctata,Guamo,6,2814,4736187.933775,2199825.926482,0.25,0.1,0,0,1,0,1,0,1,0,0,0.27,0.04999999999999999,0.52,0.15
Guayabal_P3_I32.0,3,3,M3,Fabaceae,Inga punctata,Guamo,12,2814,4736187.933775,2199825.926482,0.52,0.15,1,0,0,0,1,0,1,0,0,0.0,0.19,0.52,0.33999999999999997
Guayabal_P3_I32.0,3,4,M4,Fabaceae,Inga punctata,Guamo,18,2814,4736187.933775,2199825.926482,0.52,0.34,1,0,0,0,1,0,1,0,0,0.2,0.3599999999999999,0.72,0.7
Guayabal_P3_I33.0,3,2,M2,Lauraceae,Persea caerulea,Aguacatillo,6,2814,4736189.984271,2199826.786369,0.25,0.13,1,0,0,0,1,0,1,0,0,0.16,0.07,0.41000000000000003,0.2
