monitoreo,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,altura_actual,copa_actual
3,2,6,18,12,2814,4736191.24103,2199828.969193,0.36,0.1,1,0,0,1,0,0,1,0,0,0.36,0.23
4,2,6,18,18,2814,4736191.24103,2199828.969193,0.36,0.23,1,0,0,1,0,0,1,0,0,0.42,0.33
2,11,20,0,6,2814,4736193.622329,2199829.498397,0.25,0.08,1,0,0,0,1,0,1,0,0,0.55,0.08
3,11,20,0,12,2814,4736193.622329,2199829.498397,0.55,0.08,1,0,0,0,1,0,1,0,0,0.55,0.8
4,11,20,0,18,2814,4736193.622329,2199829.498397,0.55,0.8,1,0,0,0,1,0,1,0,0,0.55,0.85
2,8,13,13,6,2814,4736196.334319,2199829.696822,0.25,0.1,0,0,1,0,1,0,1,0,0,0.53,0.18
3,8,13,13,12,2814,4736196.334319,2199829.696822,0.53,0.18,1,0,0,0,1,0,1,0,0,0.53,0.39
4,8,13,13,18,2814,4736196.334319,2199829.696822,0.53,0.39,1,0,0,0,1,0,1,0,0,0.69,0.7
2,22,25,28,6,2814,4736198.71554,2199830.093667,0.24,0.15,1,0,0,0,1,0,1,0,0,0.28,0.17
3,22,25,28,12,2814,4736198.71554,2199830.093667,0.28,0.17,1,0,0,0,1,0,1,0,0,0.31,0.26
4,22,25,28,18,2814,4736198.71554,2199830.093667,0.31,0.26,1,0,0,0,1,0,1,0,0,0.4,0.38
2,2,6,18,6,2814,4736201.427509,2199830.490623,0.37,0.12,1,0,0,1,0,0,1,0,0,0.24,0.12
3,2,6,18,12,2814,4736201.427509,2199830.490623,0.24,0.12,1,0,0,1,0,0,1,0,0,0.26,0.14
4,2,6,18,18,2814,4736201.427509,2199830.490623,0.26,0.14,1,0,0,1,0,0,1,0,0,0.34,0.2
2,11,20,0,6,2814,4736204.073414,2199830.622874,0.25,0.1,1,0,0,0,1,0,1,0,0,0.53,0.13
3,11,20,0,12,2814,4736204.073414,2199830.622874,0.53,0.13,1,0,0,0,1,0,1,0,0,0.56,0.14
4,11,20,0,18,2814,4736204.073414,2199830.622874,0.56,0.14,1,0,0,0,1,0,1,0,0,0.56,0.16
2,1,17,2,6,2814,4736209.717036,2199828.322576,0.2,0.6,1,0,0,1,0,0,1,0,0,0.29,0.6
3,1,17,2,12,2814,4736209.717036,2199828.322576,0.29,0.6,1,0,0,1,0,0,1,0,0,0.53,0.52
4,1,17,2,18,2814,4736209.717036,2199828.322576,0.53,0.52,1,0,0,1,0,0,1,0,0,0.8299999999999998,0.73
2,8,13,13,6,2814,4736206.719212,2199830.622908,0.25,0.12,0,0,1,0,1,0,1,0,0,0.4,0.12
